line,type,full_match,label,id,title,URL,code
648,SUBLVLI,7.	,Lid,7.,(brandcompartiment: ligging),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.37_Lid7,C3_S3_2_P3_2_8_A3_37_SUB7
649,MAINLVL,Artikel 3.38. (brandcompartiment: omvang),Artikel,3.38,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38,C3_S3_2_P3_2_8_A3_38
650,SUBLVLI,1.	,Lid,1.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38_Lid1,C3_S3_2_P3_2_8_A3_38_SUB1
651,SUBLVLI,2.	,Lid,2.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38_Lid2,C3_S3_2_P3_2_8_A3_38_SUB2
652,SUBLVLI,3.	,Lid,3.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38_Lid3,C3_S3_2_P3_2_8_A3_38_SUB3
653,SUBLVLI,4.	,Lid,4.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38_Lid4,C3_S3_2_P3_2_8_A3_38_SUB4
654,SUBLVLI,5.	,Lid,5.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38_Lid5,C3_S3_2_P3_2_8_A3_38_SUB5
655,SUBLVLI,6.	,Lid,6.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38_Lid6,C3_S3_2_P3_2_8_A3_38_SUB6
656,SUBLVLI,7.	,Lid,7.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38_Lid7,C3_S3_2_P3_2_8_A3_38_SUB7
657,SUBLVLI,8.	,Lid,8.,(brandcompartiment: omvang),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.38_Lid8,C3_S3_2_P3_2_8_A3_38_SUB8
658,MAINLVL,Artikel 3.39. (opvangcompartiment),Artikel,3.39,(opvangcompartiment),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.39,C3_S3_2_P3_2_8_A3_39
659,SUBLVLI,1.	,Lid,1.,(opvangcompartiment),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.39_Lid1,C3_S3_2_P3_2_8_A3_39_SUB1
660,SUBLVLI,2.	,Lid,2.,(opvangcompartiment),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.39_Lid2,C3_S3_2_P3_2_8_A3_39_SUB2
661,MAINLVL,Artikel 3.40. (weerstand tegen branddoorslag en brandoverslag: niveau van eisen),Artikel,3.40,(weerstand tegen branddoorslag en brandoverslag: niveau van eisen),https://wetten.overheid.nl/BWBR0041297/2024-08-01#Hoofdstuk3_Afdeling3.2_Paragraaf3.2.8_Artikel3.40,C3_S3_2_P3_2_8_A3_40
